ACCESSION;a;DCh;Hst;STi;SHL;SHT;Fs
191RXXIII24;77.40;1.32;9.98;1.35;1.01;1.04;67.67
391_C12;91.39;3.44;9.01;1.18;1.13;1.11;67.30
A219;103.38;1.84;9.67;1.05;1.08;1.03;71.86
A9;92.35;5.26;10.32;1.03;1.05;1.03;70.38
ALICECOL;;;;;1.01;1.01;64.38
ALITOP;87.39;3.96;10.37;1.17;0.97;1.05;73.39
ALMA;98.22;2.64;8.38;1.10;1.02;1.04;73.97
AMARILLO_DE_AGOSTO;;;;;1.03;1.02;60.76
ANG_MARZOCCHELLA;101.86;1.70;8.25;1.01;1.17;1.05;66.89
ANTONY;85.86;3.09;8.64;1.19;0.95;0.98;69.75
AZURITE;103.88;3.77;11.86;1.15;1.06;1.00;72.86
BEIJING;95.05;2.84;8.14;1.24;1.09;1.06;69.93
BELLA_DI_CESENA;102.66;2.88;7.67;1.16;1.06;1.02;67.77
BELLA_DI_ROMA;108.12;5.42;8.94;1.09;1.07;1.01;77.33
BIANCA_DI_SAN_TOME;111.75;3.75;9.16;1.08;1.15;1.04;77.36
BIG BANG;91.56;5.87;8.55;1.16;1.08;1.06;68.73
BIG_HAVEN;92.59;3.17;8.10;1.21;1.00;1.04;69.47
BIG_TOP;104.53;4.06;7.89;1.21;1.01;1.04;70.57
BLAZING_STAR;114.11;3.38;8.62;1.15;1.14;0.99;68.94
BO02009003;;;;;1.09;1.03;76.59
BO02009035;;;;;1.14;1.03;74.66
BO02009066;104.70;2.32;9.08;1.11;1.14;1.05;72.78
BO03001001;;;;;1.01;1.01;69.40
BO03006008;80.07;2.70;10.11;1.13;1.01;1.04;75.10
BO03008001;80.85;4.41;11.48;1.18;1.03;1.03;70.56
BO04013002;117.39;1.71;5.97;1.14;1.03;1.01;58.73
BO04013014;;;;;1.05;0.98;55.61
BO04015011;93.37;6.21;9.94;1.05;1.07;1.00;66.22
BO04015012;99.56;5.26;9.09;1.10;1.10;1.01;65.13
BO04015017;;;;;1.09;1.00;61.36
BO04016176;;;;;1.00;0.99;70.67
BO04018013;106.21;3.19;7.90;1.17;1.13;1.00;67.05
BO04018016;103.45;3.08;9.30;1.11;1.06;1.01;71.30
BO04019038;107.67;2.88;7.09;1.14;1.06;1.00;70.20
BO04019078;108.91;2.75;9.36;1.15;1.05;0.98;68.45
BO04019115;120.48;3.04;7.98;1.08;1.10;1.01;70.28
BO04041014;90.48;0.98;7.89;1.01;0.96;0.99;49.11
BO04047007;95.12;6.93;11.26;1.12;0.98;1.04;74.64
BO04047106;;;;;1.00;1.02;64.91
BO05003063;;;;;1.03;0.98;68.17
BO05003073;;;;;0.98;0.98;70.41
BO05020077;69.21;3.16;12.54;1.11;1.03;0.97;67.65
BO05021034;107.25;4.42;10.24;1.11;1.11;1.00;67.91
BO05027036;90.85;3.09;11.01;1.09;1.03;1.02;71.48
BO05029010;92.78;2.02;9.45;1.10;1.01;1.02;66.41
BO05030133;81.35;5.05;13.77;1.08;1.02;1.02;68.42
BO05041018;103.33;2.46;8.27;1.06;1.06;1.03;68.63
BO06006067;93.17;1.89;8.70;1.19;1.03;1.03;60.58
BO06006070;101.77;2.62;9.31;1.16;1.05;1.06;59.57
BO06021059;;;;;1.06;1.06;70.21
BO06021138;;;;;1.08;1.06;74.37
BO06021844;76.30;3.09;9.88;1.27;1.00;1.05;70.40
BO06025033;;;;;1.07;1.03;72.33
BO06028004;;;;;0.97;0.99;57.93
BO07010013;;;;;1.09;1.04;70.34
BO07010087;103.38;1.93;8.73;1.11;1.13;1.02;71.80
BO07014206;97.30;3.40;9.56;1.04;1.05;1.06;76.76
BO07030011;;;;;1.09;1.03;61.23
BO07047063;98.29;3.35;10.02;1.16;1.10;1.09;73.60
BO07047070;106.91;2.58;9.41;1.18;1.09;1.00;69.12
BO07050045;95.82;3.83;9.62;1.17;1.14;1.05;75.31
BO09001032;;;;;1.05;1.03;65.53
BO09001134;102.20;4.25;8.26;1.08;1.09;1.02;64.33
BO09040003;84.55;3.79;12.10;1.13;1.13;1.11;78.13
BO84033009;92.28;5.04;11.54;1.13;1.08;1.02;73.76
BO88008037;;;;;1.05;0.99;66.61
BO88008091;;;;;1.07;0.99;68.94
BO88027021;97.36;4.15;7.93;1.25;1.14;1.11;66.47
BO89009025;102.21;1.99;8.61;1.19;1.09;1.02;58.36
BO89010005;98.21;2.16;7.83;1.11;1.00;1.04;70.95
BO94007003;99.20;2.96;9.43;1.19;1.08;1.01;69.37
BO94042003;;;;;1.03;1.00;
BO95048001;90.76;3.04;7.33;1.28;1.13;1.16;63.95
BO96025035;99.47;3.91;10.71;1.38;1.09;0.99;70.44
BO98003034;;;;;1.05;1.08;72.54
BO99003001;83.74;7.85;11.82;1.17;1.06;1.09;75.19
BO99004003;82.79;2.80;8.46;1.29;1.06;1.11;72.30
BO99014002;117.58;2.14;6.37;1.12;1.07;1.05;61.65
BO99042012;;;;;1.07;1.01;66.09
BOLERO;104.58;2.86;7.83;1.10;1.01;0.98;74.82
BOLINA;;;;;1.09;1.04;50.02
BOLIVIA;;;;;1.03;1.00;70.11
BORGIA;117.94;2.88;5.11;1.18;1.05;1.00;49.02
BOTTO;85.55;4.28;11.69;1.05;1.11;1.06;77.62
CAROTA;119.43;2.63;5.36;1.17;0.87;0.99;53.16
CHARLES_INGOULF;100.35;5.71;8.40;1.20;0.95;1.01;65.39
CONTENDER;105.69;4.41;8.38;1.10;1.05;1.01;69.61
CORINDON;103.51;6.20;8.22;1.08;1.12;1.08;74.16
CRISTINA;70.98;4.24;11.67;1.15;0.98;1.05;73.34
DIAMOND_RAY;94.37;2.06;9.10;1.20;1.02;1.01;67.43
Dixired;;;;;1.09;1.01;68.51
DOURADO;;;;;1.14;1.00;61.77
DULCIS1;88.12;3.67;10.54;1.13;1.06;1.06;75.92
EARLY_TOP;90.07;0.95;8.60;1.22;1.04;1.00;67.63
EARLY_ZEE;94.41;1.68;8.74;1.19;1.07;1.04;72.41
ELBERTITA;;;;;0.90;0.99;69.69
ELEGANT_LADY;99.96;2.80;8.48;1.07;1.09;0.98;74.97
ELIOS;95.70;2.69;7.54;1.21;1.04;1.03;56.35
FEI CHENG BAI LI;;;;;1.06;1.06;80.61
FUOCO_DI_ROMAGNA;118.60;3.61;6.10;1.08;0.97;1.05;74.80
GLADIS;;;;;1.15;1.05;72.52
GLOHAVEN;95.19;7.09;9.28;1.05;1.09;1.00;71.93
GRENAT;95.38;4.57;10.08;1.03;1.11;1.09;75.05
H1-3ZAB;;;;;1.01;1.00;70.86
HONEY_GLO;95.38;3.39;9.34;1.12;1.09;1.05;68.98
HONEY_KIST;80.65;4.07;12.17;1.08;1.02;1.01;71.15
HONEY_ROYAL;;;;;0.98;1.00;73.59
IFF_1443;102.85;2.42;7.85;1.16;1.02;0.99;72.35
IFF_1445;96.87;7.22;9.97;1.17;1.06;1.03;77.68
IFF_1450;104.31;2.17;8.96;1.17;1.12;1.09;73.55
IFF1434;89.57;6.53;11.28;1.15;1.04;1.02;
IFF691;;;;;1.16;1.06;72.02
IRIDE;111.33;4.95;7.88;1.10;1.12;1.10;68.74
KAWEAH;;;;;1.08;0.99;71.51
KEWINA;;;;;1.14;1.01;70.61
KV930386;127.18;4.12;5.72;1.12;1.05;0.99;68.92
LUCREZIA;104.79;3.92;6.24;1.15;1.03;1.00;54.26
LUISA_BERSELLI;102.88;5.55;8.19;1.20;0.99;1.03;70.41
MARIA_BIANCA;105.83;5.51;9.33;1.12;1.12;1.04;76.90
MARIA_DELIZIA;102.49;4.38;7.18;1.06;0.93;1.02;68.75
MAURA;95.96;1.68;11.94;1.11;1.10;1.02;72.10
MAYCREST;82.60;2.40;11.51;1.29;1.16;1.09;69.01
MERRIL_GEM_FREE;106.63;3.99;7.45;1.16;1.08;1.09;69.71
MICHELINI;97.31;6.07;9.12;1.00;1.10;1.02;74.87
NADIA;;;;;1.07;1.04;78.52
NJ82;;;;;1.01;1.01;65.37
NJC_113;105.50;2.72;7.81;1.18;1.07;0.98;65.73
OroA;103.34;1.08;6.45;1.12;1.19;1.04;57.25
PACIFIC STAR;107.71;1.17;6.01;1.34;0.98;1.03;
PERCOCA_RDL;;;;;1.04;1.01;70.59
PESCA A CUORE CAPOZZI;;;;;0.88;0.97;
PIERI_81;101.43;4.11;8.85;1.08;1.06;1.02;77.00
PIT_STOP;92.06;4.70;9.32;1.02;1.03;1.02;70.11
PULCRA;96.77;1.91;8.35;1.18;1.15;1.05;64.23
QUETTA;107.18;3.46;6.28;1.05;0.97;1.03;58.85
REBUS_28;98.45;2.98;8.45;1.16;0.97;1.02;58.96
REDHAVEN;94.60;5.58;11.17;1.09;1.01;0.97;68.53
RICH_LADY;95.79;4.07;11.65;1.14;1.09;0.97;72.88
RISING_STAR;99.54;5.18;8.32;1.15;1.03;1.00;65.95
RITA_STAR;96.96;2.47;7.62;1.22;1.07;1.04;67.15
ROMAGNA_3000;;;;;1.03;1.01;
ROMAGNA_BIG;107.59;4.86;9.15;1.16;0.98;1.01;71.80
ROMAGNA_BRIGHT;94.39;3.21;10.90;1.23;1.08;1.03;75.60
Romagna_Gold;;;;;0.99;1.01;70.44
ROSA_DEL_WEST;92.90;4.50;10.11;1.14;1.04;1.02;69.95
ROSSA_DI_TRENTI;89.94;4.94;9.58;1.14;0.99;0.99;75.65
ROYAL SUMMER;;;;;1.07;1.04;
ROYAL TIME;86.22;2.27;10.90;1.21;1.04;1.02;
ROYAL_ESTATE;;;;;1.13;1.04;71.71
ROYAL_GLORY;92.22;3.33;10.16;1.12;1.05;1.10;73.25
ROYAL_JIM;;;;;1.15;1.06;73.07
ROYAL_MAJESTIC;83.27;2.98;13.83;1.24;1.05;1.05;77.08
ROYAL_PRIDE;;;;;1.06;1.02;
RUBIA;106.78;4.86;10.02;1.22;1.09;1.04;70.14
RUBY_RICH;92.90;3.32;9.10;1.14;1.11;1.06;71.08
S6699;92.80;1.40;7.93;1.13;0.93;0.98;64.71
SAGITTARIA;102.85;2.97;8.12;1.11;1.16;1.06;69.87
SANT_ANNA_BALD;104.63;3.59;9.39;1.04;1.10;1.01;67.01
SENTRY;88.72;2.87;9.24;1.10;0.99;1.01;71.39
SOLE_2;99.30;2.42;8.81;1.15;1.15;1.06;62.49
SOLEADA;93.39;4.34;10.11;1.17;1.08;1.00;77.25
SUGAR_TIME;94.39;3.65;9.71;1.16;1.13;1.04;73.43
SUMMER_RICH;83.58;5.92;10.59;1.06;1.12;1.07;75.89
SW_x_WG;86.79;2.91;8.57;1.16;0.95;1.00;58.72
TARDI_GOLD;77.61;2.85;9.73;1.02;0.98;0.97;62.54
TASTY FREE;;;;;0.93;0.96;65.31
TURQUOISE;103.76;4.50;7.82;1.21;1.01;1.05;63.88
VESPIGNANI2;;;;;1.05;1.00;63.78
VISTARICH;89.69;6.33;12.44;1.19;1.09;0.99;74.36
XIA_HUI;96.87;1.52;7.27;1.21;1.02;1.13;68.02
ZEE_DIAMOND;106.53;2.76;8.25;1.16;1.08;1.09;70.36
ZEE_LADY;98.04;2.30;9.22;1.10;1.02;0.97;66.06
ZEPHIR;91.27;2.77;10.37;1.15;1.07;1.02;75.68
