;alpha_2018;Alpha_2019;Dch_2018;Dch_2019;Hst_2018;Hst_2019;Stl_2018;Stl_2019;SHL_2018;SHL_2019;SHT_2018;SHT_2019;Fs_2018;Fs_2019
191RXXIII24;;77.4;;1.32;;9.98;;1.35;1;1.02;1.03;1.05;68.6;66.9
Sel. C12;101.81;80.98;4.4;2.48;7.79;10.23;1.11;1.26;1.18;1.08;1.17;1.05;66.9;67.6
A219;104.47;102.29;2.11;1.57;10.06;9.29;1.06;1.04;1.07;1.08;1.02;1.04;70.5;73.2
A9;91.26;93.45;5.4;5.12;10;10.65;1.03;1.02;1.03;1.06;1.03;1.03;68.1;72.8
ALICECOL;;;;;;;;;1.04;0.97;1.01;1.01;64.7;64.1
ALITOP;97.89;76.89;5.1;2.83;10.65;10.09;1.13;1.2;0.97;0.98;1.03;1.07;73.6;73.1
ALMA;101.15;95.29;2.85;2.43;8.64;8.13;1.1;1.11;1.02;1.02;1.02;1.05;71.7;76.2
AMARILLO DE AGOSTO;;;;;;;;;1.05;1.01;1.03;1.01;60.1;61.5
ANGELO MARZOCCHELLA;101.86;;1.7;;8.25;;1.01;;1.18;1.16;1.06;1.04;64.9;68.9
ANTONY;98.86;72.87;2.65;3.52;7.53;9.75;1.1;1.27;0.94;0.97;0.96;1.01;67.5;72.1
AZURITE;103.88;;3.77;;11.86;;1.15;;1.09;1.04;0.97;1.03;71.4;74.4
BEIJING;90.98;99.13;3.45;2.23;8.65;7.64;1.25;1.22;1.05;1.13;1.04;1.07;67.1;72.8
BELLA DI CESENA;105.29;100.02;1.93;3.84;7.89;7.46;1.15;1.18;1.1;1.02;1.01;1.04;70;65.6
BELLA DI ROMA;108.12;;5.42;;8.94;;1.09;;1.06;1.08;1.01;1.01;70.8;83.8
BIANCA DI SAN TOME;111.75;;3.75;;9.16;;1.08;;1.14;1.16;1.01;1.07;76.2;78.5
BIG BANG;90.15;92.96;5.8;5.93;8.36;8.75;1.04;1.28;1.12;1.04;1.05;1.08;69.2;68.2
BIG HAVEN;92.59;;3.17;;8.1;;1.21;;1;1;1.04;1.04;70.7;68.3
BIG TOP;104.53;;4.06;;7.89;;1.21;;1;1.03;1.03;1.05;72.4;68.9
BLAZING STAR;110.27;117.95;3.19;3.58;9.16;8.09;1.11;1.19;1.19;1.09;1;0.98;70;67.8
BO02009003;;;;;;;;;1.07;1.1;1.01;1.06;80.3;72.9
BO02009035;;;;;;;;;1.12;1.16;1.03;1.03;71.5;77.9
BO02009066;105.68;103.71;2.26;2.38;9.5;8.65;1.12;1.09;1.13;1.14;1.04;1.05;70.6;74.9
BO03001001;;;;;;;;;0.96;1.06;0.98;1.04;68.8;70
BO03006008;78.58;81.55;2.53;2.87;10.21;10.01;1.14;1.12;1;1.02;1.03;1.05;73;77.2
BO03008001;80.85;;4.41;;11.48;;1.18;;1.04;1.01;1.02;1.04;72;69.2
BO04013002;117.39;;1.71;;5.97;;1.14;;1.03;1.02;1;1.01;55.8;61.6
BO04015011;93.37;;6.21;;9.94;;1.05;;1.05;1.09;0.99;1;62.9;69.6
BO04015012;99.56;;5.26;;9.09;;1.1;;1.1;1.1;1.01;1.01;67.6;62.6
BO04015017;;;;;;;;;1.07;1.11;0.97;1.02;60.3;62.4
BO04016176;;;;;;;;;0.96;1.04;0.95;1.03;65.9;75.4
BO04018013;106.21;;3.19;;7.9;;1.17;;1.11;1.15;1.01;1;66.8;67.3
BO04018016;103.45;;3.08;;9.3;;1.11;;1.06;1.06;1.01;1.01;71.5;71
BO04019038;107.67;;2.88;;7.09;;1.14;;1.06;1.06;0.99;1.01;69.5;71
BO04019078;108.91;;2.75;;9.36;;1.15;;1.04;1.05;0.97;0.99;70.3;66.7
BO04019115;120.48;;3.04;;7.98;;1.08;;1.09;1.1;1;1.01;70;70.6
BO04041014;90.48;;0.98;;7.89;;1.01;;0.98;0.94;1;0.97;50.3;48
BO04047007;95.12;;6.93;;11.26;;1.12;;0.99;0.98;1;1.08;74.5;74.8
BO04047106;;;;;;;;;1.01;0.98;1.01;1.03;63.8;66
BO05003063;;;;;;;;;1.01;1.06;0.94;1.02;68.3;68.1
BO05003073;;;;;;;;;0.99;0.98;0.97;0.98;73.1;67.6
BO05020077;69.21;;3.16;;12.54;;1.11;;1.02;1.03;0.97;0.97;69.8;65.5
BO05021034;107.25;;4.42;;10.24;;1.11;;1.1;1.12;0.99;1.01;67.7;68
BO05027036;90.85;;3.09;;11.01;;1.09;;1.02;1.04;0.99;1.04;73.9;69.1
BO05029010;92.78;;2.02;;9.45;;1.1;;1.02;1;1.03;1.01;66.8;66
BO05030133;81.35;;5.05;;13.77;;1.08;;1.03;1.01;1.02;1.02;69.1;67.7
BO05041018;103.33;;2.46;;8.27;;1.06;;1.09;1.02;1.03;1.02;68.7;68.6
BO06006067;109.45;76.89;2.43;1.34;9.27;8.13;1.12;1.26;1.05;1.02;1.05;1.01;60.7;60.6
BO06006070;107.26;96.28;3.14;2.11;8.33;10.28;1.18;1.15;1.05;1.04;1.05;1.07;61.7;57.5
BO06021059;;;;;;;;;1.1;1.02;1.05;1.06;68.8;71.5
BO06021138;;;;;;;;;1.06;1.1;1.03;1.09;73.6;75.2
BO06021844;;76.3;;3.09;;9.88;;1.27;0.99;1;1.01;1.08;69.9;70.9
BO06025033;;;;;;;;;1.04;1.1;1.01;1.06;70.8;73.9
BO06028004;;;;;;;;;0.97;0.97;0.99;0.99;57.8;58.1
BO07010013;;;;;;;;;1.04;1.13;1.02;1.06;68.2;72.5
BO07010087;112.71;94.04;2.52;1.33;8.37;9.09;1.06;1.16;1.11;1.15;1.01;1.03;70.1;73.5
BO07014206;94.56;100.03;3.03;3.78;10.33;8.79;1.04;1.03;1.01;1.08;1.02;1.1;75.5;78
BO07030011;;;;;;;;;1.11;1.07;1;1.06;60.4;62.1
BO07047063;102.69;93.89;2.99;3.71;9.87;10.18;1.17;1.14;1.09;1.11;1.06;1.11;72;75.2
BO07047070;106.91;;2.58;;9.41;;1.18;;1.09;1.09;1;1;68.9;69.3
BO07050045;95.82;;3.83;;9.62;;1.17;;1.16;1.12;1.07;1.02;76.9;73.7
BO09001032;;;;;;;;;1.05;1.05;0.99;1.07;67.2;63.8
BO09001134;99.24;105.15;4.11;4.39;8.52;8.01;1.08;1.08;1.1;1.08;1.02;1.01;63.2;65.4
BO09040003;;84.55;;3.79;;12.1;;1.13;1.17;1.09;1.14;1.08;79.9;76.4
BO84033009;94.29;90.27;5.83;4.26;11.7;11.38;1.02;1.24;1.05;1.11;1;1.04;71.3;76.2
BO88008037;;;;;;;;;1.03;1.06;1;0.99;69.1;64.2
BO88008091;;;;;;;;;1.07;1.07;1;0.98;69.6;68.2
BO88027021;;97.36;;4.15;;7.93;;1.25;1.1;1.17;1.06;1.16;65.9;67.2
BO89009025;102.21;;1.99;;8.61;;1.19;;1.09;1.09;1.02;1.02;58.3;58.4
BO89010005;100.54;95.88;2.29;2.03;8.21;7.45;1.14;1.09;1.02;0.97;1.03;1.05;69.7;72.3
BO94007003;106.12;92.29;2.75;3.16;9.37;9.49;1.09;1.29;1.11;1.04;1.02;1;71.3;67.5
BO94042003;;;;;;;;;1.03;1.03;1;1;65.5;68.9
BO95048001;;90.76;;3.04;;7.33;;1.28;1.1;1.16;1.07;1.15;65.3;62.7
BO96025035;;99.47;;3.91;;10.71;;1.38;1.11;1.06;0.99;0.98;68.7;72
BO98003034;;;;;;;;;1.02;1.08;1.02;1.13;71.5;73.5
BO99003001;83.74;;7.85;;11.82;;1.17;;1.02;1.09;1.04;1.14;75.8;74.6
BO99004003;;82.79;;2.8;;8.46;;1.29;1.06;1.06;1.1;1.11;75.1;69.5
BO99014002;115.48;119.69;2.28;2;6.58;6.17;1.14;1.11;1.08;1.06;1.05;1.06;59.8;63.6
BO99042012;;;;;;;;;1.06;1.07;1.03;1;68;64.2
BOLERO;107.9;101.25;2.67;3.04;8.09;7.56;1.12;1.08;1.02;1.01;0.98;0.97;73.6;75.9
BOLINA;;;;;;;;;1.07;1.11;1.02;1.06;52.4;47.6
BOLIVIA;;;;;;;;;1;1.05;0.97;1.02;68.3;71.9
BORGIA;114.65;121.23;4.43;1.32;5.81;4.41;1.18;1.18;1.1;0.99;1.02;0.98;49.7;48.3
BOTTO;86.39;84.71;4.19;4.37;12.08;11.3;1.06;1.04;1.09;1.13;1.02;1.09;75.9;79.3
CAROTA;117.73;121.12;2.74;2.53;5.73;4.98;1.16;1.18;0.89;0.86;1;0.99;51.8;54.5
CHARLES INGOULF;103.56;97.14;5.49;5.93;8.44;8.37;1.21;1.19;0.95;0.96;0.99;1.02;61.5;69.3
CONTENDER;106.67;104.7;4.59;4.23;8.51;8.26;1.1;1.09;1.09;1.01;1.02;1;69.4;69.8
CORINDON;101.63;105.4;6.4;6.01;9.4;7.04;1.08;1.08;1.08;1.15;1.03;1.12;72.3;76
CRISTINA;72.8;69.15;4.18;4.29;11.33;12;1.16;1.15;1.01;0.94;1.02;1.07;73.2;73.4
DIAMOND RAY;96.56;92.19;2.26;1.85;9.21;9;1.2;1.21;1.05;0.99;1.03;1;67.3;67.5
DIXIRED;;;;;;;;;1.06;1.11;1;1.02;65.4;71.6
DOURADO;;;;;;;;;1.18;1.1;1.01;1;58.5;65
DULCIS1;90.45;85.78;3.44;3.89;10.01;11.07;1.13;1.14;1.04;1.08;1.03;1.09;77.3;74.5
EARLY TOP;86.38;93.75;1.34;0.56;9.02;8.19;1.21;1.23;1.07;1;1;0.99;68.7;66.5
EARLY ZEE;94.41;;1.68;;8.74;;1.19;;1.03;1.11;1.01;1.07;72.6;72.1
ELBERTITA;;;;;;;;;0.89;0.91;0.95;1.03;68.8;70.6
ELEGANT LADY;99.96;;2.8;;8.48;;1.07;;1.09;1.09;0.99;0.98;74.1;75.8
FEI CHENG BAI LI;;;;;;;;;1.08;1.05;1.06;1.07;83.1;78.1
FUOCO DI ROMAGNA;118.6;;3.61;;6.1;;1.08;;0.97;0.97;1.03;1.07;71.9;77.7
GLADIS;;;;;;;;;1.15;1.15;1.05;1.04;70.3;74.6
GLOHAVEN;95.19;;7.09;;9.28;;1.05;;1.08;1.09;1;1;70.9;72.9
GRENAT;95.38;;4.57;;10.08;;1.03;;1.1;1.12;1.06;1.11;74.9;75.3
H1-3ZAB;;;;;;;;;1.01;1;0.99;1;69.1;72.7
ELIOS;95.7;;2.69;;7.54;;1.21;;1.02;1.06;0.99;1.07;56.5;56.3
HONEY GLO;95.38;;3.39;;9.34;;1.12;;1.09;1.08;1.05;1.04;69.9;68
HONEY KIST;80.7;80.61;3.97;4.17;12.86;11.47;1.13;1.03;1.01;1.04;1;1;68.9;73.5
HONEY ROYAL;;;;;;;;;1;0.96;1;1.01;72.5;74.8
IFF 1443;100.53;93.22;8.74;5.71;9.63;10.3;1.09;1.25;1.05;0.99;0.97;1.01;70.9;73.9
IFF 1445;104.31;;2.17;;8.96;;1.17;;1.06;1.05;1.01;1.04;79.3;76.1
IFF 1450;89.57;;6.53;;11.28;;1.15;;1.11;1.13;1.03;1.14;70.2;77.1
IFF 1434;102.85;;2.42;;7.85;;1.16;;1.03;1.05;1;1.04;68.2;71.9
IFF 691;;;;;;;;;1.17;1.15;1.01;1.1;74.6;69.5
IRIDE;114.15;108.5;3.8;6.09;8.22;7.54;1.09;1.11;1.09;1.15;1.04;1.15;67.7;69.8
KAWEAH;;;;;;;;;1.06;1.09;0.97;1.02;71.7;71.4
KEWINA;;;;;;;;;1.1;1.17;0.99;1.04;73.4;67.7
KV930386;127.18;;4.12;;5.72;;1.12;;0.99;1.12;0.97;1.02;68.3;69.6
LUCREZIA;108.74;100.84;5;2.84;6.75;5.74;1.13;1.17;1.02;1.03;0.99;1.01;54.9;53.6
LUISA BERSELLI;99.67;106.09;6.31;4.79;8.32;8.05;1.27;1.12;1;0.97;1.01;1.05;68.2;72.6
MARIA BIANCA;105.74;105.91;5.64;5.38;9.81;8.84;1.14;1.1;1.11;1.13;1.02;1.06;76.6;77.2
MARIA DELIZIA;101.74;103.24;4.74;4.03;7.11;7.26;1.06;1.05;0.9;0.97;1;1.03;67.1;70.4
MAURA;95.96;;1.68;;11.94;;1.11;;1.07;1.13;1.01;1.03;70.6;73.7
MAYCREST;;82.6;;2.4;;11.51;;1.29;1.13;1.19;1.06;1.12;69.1;68.9
MERRIL GEM FREE;110.15;103.11;4.41;3.58;7.5;7.41;1.13;1.19;1.07;1.1;1.03;1.15;70.3;69.1
MICHELINI;97.31;;6.07;;9.12;;1;;1.09;1.12;0.99;1.04;75.3;74.4
NADIA;;;;;;;;;1.08;1.06;1.02;1.05;82.6;74.5
NJ 82;;;;;;;;;0.99;1.03;0.99;1.02;63.6;67.2
NJC 113;98.27;112.74;2.65;2.8;8.96;6.67;1.13;1.23;1.04;1.11;0.95;1.02;66.7;64.7
ORO A;104.4;102.28;0.93;1.22;6.62;6.29;1.13;1.11;1.16;1.22;1.04;1.03;52.6;62
PACIFIC STAR;111.52;103.89;1.06;1.28;5.28;6.73;1.29;1.38;;0.98;;1.03;;68.2
PERCOCA RDL;;;;;;;;;1.03;1.06;0.99;1.03;68.4;72.8
PESCA A CUORE CAPOZZI;;;;;;;;;;0.88;;0.97;;67.1
PIERI 81;101.43;;4.11;;8.85;;1.08;;1.06;1.05;1.02;1.02;74.8;79.3
PIT STOP;92.06;;4.7;;9.32;;1.02;;1.04;1.01;1.05;0.99;68.7;71.5
PULCHRA;105.23;88.32;1.79;2.04;8.05;8.66;1.23;1.14;1.16;1.15;1.01;1.08;63.7;64.7
QUETTA;107.18;;3.46;;6.28;;1.05;;0.99;0.95;1.04;1.02;56.7;61.1
REBUS 28;98.45;;2.98;;8.45;;1.16;;1;0.95;1.01;1.03;58.4;59.6
REDHAVEN;94.6;;5.58;;11.17;;1.09;;1.03;0.99;0.98;0.95;70.5;66.5
RICH LADY;103.85;87.74;5.07;3.06;11.79;11.51;1.13;1.15;1.1;1.07;0.96;0.98;74.8;71
RISING STAR;99.54;;5.18;;8.32;;1.15;;1.03;1.03;0.97;1.03;67.9;64.1
RITA STAR;96.96;;2.47;;7.62;;1.22;;1.08;1.06;1.02;1.05;67.2;67.1
ROMAGNA 3000;;;;;;;;;1.03;1.02;1.03;0.99;74.7;71.7
ROMAGNA BIG;93.2;121.97;7.06;2.65;9.16;9.15;1.12;1.2;0.99;0.97;1;1.02;70;73.5
ROMAGNA BRIGHT;94.39;;3.21;;10.9;;1.23;;1.08;1.07;1.06;1;73.1;78
ROMAGNA GOLD;;;;;;;;;1.03;0.95;1.05;0.97;70.7;70.1
ROSA DEL WEST;92.9;;4.5;;10.11;;1.14;;1.05;1.04;1.03;1.02;66.9;73.1
ROSSA DI TRENTI;89.94;;4.94;;9.58;;1.14;;0.99;0.99;0.97;1.01;73.4;77.9
ROYAL ESTATE;;;;;;;;;1.11;1.14;1;1.09;68.8;74.6
ROYAL GLORY;;86.22;;2.27;;10.9;;1.21;1.03;1.07;1.03;1.16;72.1;74.5
ROYAL JIM;;;;;;;;;1.09;1.2;1.04;1.08;70.6;75.7
ROYAL MAJESTIC;92.22;;3.33;;10.16;;1.12;;1.01;1.1;0.99;1.11;77;77.3
ROYAL PRIDE;;;;;;;;;1.03;1.08;1.01;1.03;71.4;73.4
ROYAL SUMMER;;;;;;;;;1.07;1.06;1.03;1.04;70.7;74.8
ROYAL TIME;88.93;77.6;2.54;3.42;13.2;14.45;1.18;1.3;1.05;1.04;1.02;1.02;70.6;67.6
RUBIA;106.78;;4.86;;10.02;;1.22;;1.09;1.09;1.04;1.04;70.1;70.1
RUBY RICH;95.26;90.53;2.88;3.75;12.3;5.9;1.11;1.17;1.09;1.13;1;1.11;68.4;73.7
S6699;93.99;91.62;1.46;1.34;7.83;8.04;1.13;1.14;0.92;0.94;1.01;0.95;61.8;67.6
SAGITTARIA;103.86;101.84;3.01;2.92;8.15;8.09;1.11;1.11;1.12;1.19;1.04;1.09;67.6;72.2
SANT ANNA BALDUCCI;104.19;105.06;3.71;3.48;9.62;9.16;1.03;1.04;1.04;1.15;1;1.02;67.1;67
SENTRY;89.3;88.14;3;2.74;9.49;8.99;1.11;1.09;0.97;1.01;0.97;1.05;70.3;72.5
SOLE 2;107.23;91.37;3.15;1.69;8.47;9.15;1.06;1.25;1.12;1.18;1.02;1.09;65.1;59.8
SOLEADA;94.23;92.55;4.6;4.09;10.29;9.94;1.2;1.15;1.07;1.1;0.98;1.02;77.3;77.4
SUGAR TIME;95.84;92.94;4.85;2.44;10.04;9.38;1.13;1.18;1.13;1.14;1.01;1.06;71.7;75.2
SUMMER RICH;85.86;81.29;6.4;5.45;11.04;10.14;1.07;1.05;1.13;1.1;1.1;1.04;73.1;78.8
SWEET MELODY x WHITE GLORY;86.79;;2.91;;8.57;;1.16;;0.95;0.96;1;0.99;57.8;59.7
TARDIGOLD;77.61;;2.85;;9.73;;1.02;;0.96;1;0.98;0.96;61.6;63.4
TASTY FREE;;;;;;;;;0.95;0.91;0.98;0.95;66.8;63.8
TURQUOISE;107.2;100.33;4.15;4.86;7.82;7.82;1.18;1.24;0.98;1.03;1;1.1;62.8;65
VESPIGNANI2;;;;;;;;;1.05;1.05;0.99;1.01;59.1;68.5
VISTARICH;90.69;88.69;6.86;5.81;11.93;12.95;1.19;1.18;1.1;1.08;0.99;0.98;72.8;76
XIA HUI;102.96;90.79;1.47;1.57;6.3;8.25;1.18;1.25;1.01;1.03;1.1;1.16;67.8;68.3
ZEE DIAMOND;107.32;105.73;2.88;2.64;8.05;8.46;1.18;1.14;1.07;1.09;1.1;1.08;67.3;73.4
ZEE LADY;99.04;97.04;2.41;2.19;9.01;9.42;1.11;1.09;1.01;1.03;0.98;0.97;65;67.3
ZEPHYR;92.31;90.23;2.89;2.65;10.24;10.5;1.14;1.16;1.09;1.04;1;1.04;74.1;77.3
